"Tile.Size","Match.Score","Prev.Length","Prev.Type","Browse.Time"
0.2,74,50,"AC",18.4891347066247
0.2,74,50,"TT",10.71055230956
0.2,74,90,"AC",17.5414835535627
0.2,74,90,"TT",12.455401696647
0.2,90,50,"AC",18.6976451398317
0.2,90,50,"TT",13.7354857001591
0.2,90,90,"AC",22.2403017162276
0.2,90,90,"TT",16.5718020809977
0.4,74,50,"AC",19.4429653021031
0.4,74,50,"TT",12.3846215128405
0.4,74,90,"AC",15.9183688136894
0.4,74,90,"TT",13.1259546211194
0.4,90,50,"AC",16.1893409595419
0.4,90,50,"TT",11.3205378013232
0.4,90,90,"AC",20.0196065995858
0.4,90,90,"TT",16.0481873139747
0.2,74,50,"AC",16.5596438867224
0.2,74,50,"TT",13.7335389100625
0.2,74,90,"AC",17.9549819547996
0.2,74,90,"TT",12.4305907220906
0.2,90,50,"AC",19.1827185162898
0.2,90,50,"TT",14.4138460340115
0.2,90,90,"AC",20.7846525250777
0.2,90,90,"TT",13.9414436998156
0.4,74,50,"AC",16.1566677457665
0.4,74,50,"TT",12.8256771075115
0.4,74,90,"AC",17.5058449163522
0.4,74,90,"TT",14.0309081980158
0.4,90,50,"AC",18.5309507006719
0.4,90,50,"TT",13.3401587022428
0.4,90,90,"AC",20.4740153420492
0.4,90,90,"TT",16.0935007608745
0.2,74,50,"AC",18.0202234370042
0.2,74,50,"TT",14.2759687028051
0.2,74,90,"AC",17.5622856975737
0.2,74,90,"TT",12.084772462447
0.2,90,50,"AC",18.282233912057
0.2,90,50,"TT",13.9314990213754
0.2,90,90,"AC",20.2684901103432
0.2,90,90,"TT",16.3999829273603
0.4,74,50,"AC",19.307705909592
0.4,74,50,"TT",12.4709254656246
0.4,74,90,"AC",18.7344416607971
0.4,74,90,"TT",11.6394156698503
0.4,90,50,"AC",18.3274170459354
0.4,90,50,"TT",14.4647191396106
0.4,90,90,"AC",21.0030789714899
0.4,90,90,"TT",14.3905148410309
0.2,74,50,"AC",17.3795390492436
0.2,74,50,"TT",11.6890619980577
0.2,74,90,"AC",17.2481227969892
0.2,74,90,"TT",12.2772394800613
0.2,90,50,"AC",17.9598651818162
0.2,90,50,"TT",12.0491057900762
0.2,90,90,"AC",20.5089088118746
0.2,90,90,"TT",14.011099374503
0.4,74,50,"AC",17.4393085560262
0.4,74,50,"TT",13.1426485236022
0.4,74,90,"AC",17.8293747300065
0.4,74,90,"TT",13.4862485180026
0.4,90,50,"AC",18.5148888187904
0.4,90,50,"TT",12.876435271962
0.4,90,90,"AC",19.259453628632
0.4,90,90,"TT",16.1716150322969
0.2,74,50,"AC",17.6625535628062
0.2,74,50,"TT",13.2794381523032
0.2,74,90,"AC",18.1674878994841
0.2,74,90,"TT",11.4634416215408
0.2,90,50,"AC",19.5007234953823
0.2,90,50,"TT",13.0220567543706
0.2,90,90,"AC",19.7977120600041
0.2,90,90,"TT",16.9543755251253
0.4,74,50,"AC",15.8030879759895
0.4,74,50,"TT",13.1441356522143
0.4,74,90,"AC",18.2465786279931
0.4,74,90,"TT",11.8832467349475
0.4,90,50,"AC",18.4874133820768
0.4,90,50,"TT",16.0556080239754
0.4,90,90,"AC",19.06491089296
0.4,90,90,"TT",17.1721818807695
0.2,74,50,"AC",18.6306504158612
0.2,74,50,"TT",13.8369481876106
0.2,74,90,"AC",15.2723826633219
0.2,74,90,"TT",12.1422788924727
0.2,90,50,"AC",16.1408080002301
0.2,90,50,"TT",14.0240044832701
0.2,90,90,"AC",21.004230666697
0.2,90,90,"TT",16.6612174905562
0.4,74,50,"AC",16.2883729978825
0.4,74,50,"TT",11.7479758575108
0.4,74,90,"AC",17.8632688614076
0.4,74,90,"TT",11.9354836576229
0.4,90,50,"AC",17.7778841152319
0.4,90,50,"TT",13.3195559695065
0.4,90,90,"AC",21.0858341541282
0.4,90,90,"TT",14.3529932147225
0.2,74,50,"AC",17.2313294182799
0.2,74,50,"TT",11.8644317727925
0.2,74,90,"AC",18.1695507844974
0.2,74,90,"TT",13.3981101102973
0.2,90,50,"AC",17.3345234846798
0.2,90,50,"TT",12.2969925851326
0.2,90,90,"AC",20.5053811782307
0.2,90,90,"TT",16.6257678826921
0.4,74,50,"AC",17.2860151743335
0.4,74,50,"TT",11.471795174825
0.4,74,90,"AC",18.6931877893019
0.4,74,90,"TT",12.3794896097787
0.4,90,50,"AC",16.4421256467964
0.4,90,50,"TT",14.0811128556554
0.4,90,90,"AC",21.5732517934124
0.4,90,90,"TT",14.3957982699018
0.2,74,50,"AC",17.9835299546923
0.2,74,50,"TT",12.2040354288251
0.2,74,90,"AC",18.6920681848351
0.2,74,90,"TT",12.0927996921463
0.2,90,50,"AC",18.6987940839242
0.2,90,50,"TT",12.5068082286002
0.2,90,90,"AC",18.6332892275299
0.2,90,90,"TT",14.4177062731085
0.4,74,50,"AC",15.7879675116252
0.4,74,50,"TT",11.5267230957183
0.4,74,90,"AC",18.8791805323296
0.4,74,90,"TT",11.8989301642814
0.4,90,50,"AC",19.7703594332263
0.4,90,50,"TT",13.7613575980723
0.4,90,90,"AC",18.9791815163647
0.4,90,90,"TT",14.2593077713509
0.2,74,50,"AC",15.9361509730012
0.2,74,50,"TT",12.2894917105826
0.2,74,90,"AC",16.7332583784644
0.2,74,90,"TT",12.423919542074
0.2,90,50,"AC",17.793400176657
0.2,90,50,"TT",13.1785483317041
0.2,90,90,"AC",19.201309445257
0.2,90,90,"TT",15.1806651719145
0.4,74,50,"AC",19.6004518990788
0.4,74,50,"TT",11.8279205621959
0.4,74,90,"AC",18.3308836651794
0.4,74,90,"TT",14.0909583072684
0.4,90,50,"AC",18.5222240474988
0.4,90,50,"TT",12.0588040618588
0.4,90,90,"AC",21.191560403719
0.4,90,90,"TT",17.8822957326631
0.2,74,50,"AC",16.0937986438518
0.2,74,50,"TT",12.2700062719967
0.2,74,90,"AC",17.7968392555271
0.2,74,90,"TT",13.2857713281868
0.2,90,50,"AC",16.3307856455526
0.2,90,50,"TT",14.9981812179309
0.2,90,90,"AC",19.8659060475478
0.2,90,90,"TT",15.9603842351864
0.4,74,50,"AC",18.0365274553916
0.4,74,50,"TT",14.1317214036477
0.4,74,90,"AC",19.3572227862701
0.4,74,90,"TT",13.2293152728151
0.4,90,50,"AC",18.8267251096744
0.4,90,50,"TT",12.0282027853547
0.4,90,90,"AC",21.052039731076
0.4,90,90,"TT",15.5004572626231
0.2,74,50,"AC",17.5046281105375
0.2,74,50,"TT",13.0362393044453
0.2,74,90,"AC",15.8358424819767
0.2,74,90,"TT",11.9536886956755
0.2,90,50,"AC",19.0663234052981
0.2,90,50,"TT",13.8612428510236
0.2,90,90,"AC",20.2591860048621
0.2,90,90,"TT",16.9783151652631
0.4,74,50,"AC",18.1514701835757
0.4,74,50,"TT",12.3484341575451
0.4,74,90,"AC",16.7501088957866
0.4,74,90,"TT",13.052551933192
0.4,90,50,"AC",18.48977743038
0.4,90,50,"TT",14.7123351994294
0.4,90,90,"AC",19.8666789288951
0.4,90,90,"TT",13.1232144290445
0.2,74,50,"AC",18.4231571528764
0.2,74,50,"TT",11.4246759150925
0.2,74,90,"AC",16.7335630326607
0.2,74,90,"TT",14.0706196282255
0.2,90,50,"AC",19.8573618460106
0.2,90,50,"TT",12.7053451281126
0.2,90,90,"AC",21.4234698090643
0.2,90,90,"TT",14.7628317105405
0.4,74,50,"AC",18.252332138602
0.4,74,50,"TT",12.7617657948576
0.4,74,90,"AC",15.4332028511984
0.4,74,90,"TT",12.496557809147
0.4,90,50,"AC",18.0093975638785
0.4,90,50,"TT",14.0188021596541
0.4,90,90,"AC",19.9009558735403
0.4,90,90,"TT",14.6756621274455
0.2,74,50,"AC",18.3229603147817
0.2,74,50,"TT",10.3896725768596
0.2,74,90,"AC",18.4730551641331
0.2,74,90,"TT",11.9740908031652
0.2,90,50,"AC",17.2182445986137
0.2,90,50,"TT",14.1239547997526
0.2,90,90,"AC",19.8460342633726
0.2,90,90,"TT",14.6528253958398
0.4,74,50,"AC",18.4495680800274
0.4,74,50,"TT",10.5184618687694
0.4,74,90,"AC",17.4864254970354
0.4,74,90,"TT",13.4335159522955
0.4,90,50,"AC",17.942277158392
0.4,90,50,"TT",12.5622073640252
0.4,90,90,"AC",20.1517329037813
0.4,90,90,"TT",16.0241849750456
0.2,74,50,"AC",17.2090294997631
0.2,74,50,"TT",12.7589495428982
0.2,74,90,"AC",18.3577659279667
0.2,74,90,"TT",12.9580745229072
0.2,90,50,"AC",18.7159652612075
0.2,90,50,"TT",12.3662628928394
0.2,90,90,"AC",20.2262563161199
0.2,90,90,"TT",15.5172261934296
0.4,74,50,"AC",17.8226566484866
0.4,74,50,"TT",12.7924255818586
0.4,74,90,"AC",17.5816863872682
0.4,74,90,"TT",11.7465373132615
0.4,90,50,"AC",19.6409868903074
0.4,90,50,"TT",13.1537600783096
0.4,90,90,"AC",22.1180318931745
0.4,90,90,"TT",16.0885765105084
0.2,74,50,"AC",17.9565243814457
0.2,74,50,"TT",11.4120868197438
0.2,74,90,"AC",17.4532079393833
0.2,74,90,"TT",13.1157901737213
0.2,90,50,"AC",19.5227821425218
